code,D10,D30,D50,D60,D90,Cu,Cc,clay_pct,silt_pct,sand_pct,bulk_density,particle_density,porosity,void_ratio,Gs,OM_content,pH,EC,theta_s,theta_r
4202,0.001,0.001,0.0121818181818181,0.0267272727272727,0.1666666666666666,,,76.0,24.0,0.0,1.169,2.69,0.5654275092936802,1.3011120615911032,2.69,,,,0.5511727361262302,0.0
2382,0.001,0.0276,0.2589285714285714,0.6071428571428571,1.6517857142857142,,,44.0,56.00000000000001,0.0,1.45,,,,,,,,0.3617288328525856,0.0
1163,0.001,0.001,0.014,0.0625,0.8833333333333333,,,59.0,4.400000000000004,36.6,1.49,2.7,0.448,0.8115942028985507,2.7,,,,0.4101266770778659,0.1447575573524445
2613,0.001,0.0107189292543021,0.0290745697896749,0.0382523900573613,1.2830882352941178,,,72.8,27.200000000000003,0.0,1.66,2.57,0.354,0.5479876160990712,2.57,0.1,5.2,,0.4048514261465444,0.0
1202,0.001,0.0352947976878612,0.1253930817610063,0.1647012578616352,0.3720588235294118,,,35.3,14.6,50.1,1.77,,,,,,,,0.2952261885937975,0.0
3301,0.001,0.0278602150537634,0.0778059701492537,0.1086517412935323,0.3408536585365854,,,26.6,18.6,54.8,1.63,2.65,0.385,0.6260162601626017,2.65,1.7,,,0.3739344514932502,0.0
4033,0.001,0.0065714285714285,0.0199999999999999,0.0271428571428571,0.0485714285714285,,,34.5,62.4,3.1000000000000028,1.52,,,,,0.18,,,0.4247503887476789,0.0
1300,0.001,0.001,0.0319597315436241,0.0480671140939597,1.4974226804123714,,,61.2,38.8,0.0,1.26,,,,,,,,0.4732766162704466,0.0
4544,0.001,0.0312131147540983,0.0674190064794816,0.0808099352051835,0.1209827213822894,,,19.6,27.1,53.29999999999999,1.61,,,,,1.38,7.640000000000001,,0.4534576657051714,0.0
4271,0.0829338842975206,0.1230978260869565,0.1576363636363636,0.1794545454545454,1.3115384615384615,2.163826606875934,1.0181559345705604,3.4000000000000004,3.4000000000000004,93.2,,,,,,2.2,4.7,,0.3505333463473324,0.0844753506270234
4212,0.001,0.001,0.0121818181818181,0.0267272727272727,0.1666666666666666,,,76.0,24.0,0.0,1.182,2.69,0.5605947955390335,1.2758037225042302,2.69,,,,0.5171457744064195,0.0
1213,0.001,0.001,0.0250117647058823,0.0391294117647058,0.1439873417721519,,,67.7,21.1,11.2,1.58,,,,,,,,0.4918897834832478,0.1617010332380369
3194,0.0028796992481203,0.0164135338345864,0.0432105263157894,0.0687499999999999,0.3444444444444445,23.874020887728395,1.360768834024294,35.3,34.2,30.500000000000004,1.5,,,,,0.12,8.2,0.48,0.4830305320897546,0.0
3144,0.0863636363636363,0.1533203125,0.2119140625,0.2412109375,0.4385474860335195,2.79296875,1.1284218183997443,3.8,7.999999999999999,88.2,1.57,,,,,0.04,7.600000000000001,0.19,0.3717408807215168,0.0405812418174275
4120,0.001,0.001,0.0016024844720496,0.0065714285714285,0.0705882352941176,,,66.9,29.099999999999994,4.000000000000004,1.24,,,,,2.58,,,0.5403621045774017,0.1184379521086134
2361,0.001,0.001,0.001,0.00275,0.0317272727272727,,,73.0,25.0,2.0000000000000018,1.25,2.649,0.5281238203095509,1.1192000000000004,2.649,2.5,6.8,,0.5552529163431051,0.0014881347922499
2131,0.001,0.0774647887323943,0.6267605633802817,0.9014084507042254,1.7253521126760565,,,29.0,71.0,0.0,1.72,,,,,,,,0.2920859326993942,0.0
1042,0.078125,0.1474820143884892,0.1924460431654676,0.2149280575539568,0.4807692307692307,2.7510791366906475,1.2953734083862618,4.0,16.0,80.0,1.562,2.58,0.3945736434108526,0.6517285531370037,2.58,0.31,,,0.3361800702637831,0.0
1281,0.001,0.0082741116751269,0.022945205479452,0.0313600782778864,0.0566046966731898,,,26.8,70.8,2.400000000000002,1.48,2.65,0.442,0.7921146953405017,2.65,0.776,7.46,,0.4528113173984242,0.0152921542031039
4283,0.001,0.016,0.08125,0.1808823529411764,1.5122615803814714,,,30.0,19.5,50.5,,,,,,0.3,5.0,,0.4210209751611894,0.1767802267793905
3392,0.001,0.0071412742382271,0.0232077562326869,0.0312409972299168,0.0553407202216066,,,95.8,0.0,4.200000000000004,1.481,2.65,0.441,0.7889087656529518,2.65,0.35,,,0.4009621729901587,0.0
2373,0.001,0.375,0.8392857142857143,1.0714285714285714,1.767857142857143,,,16.0,84.0,0.0,1.35,,,,,,,,0.3903118991346542,0.0
1030,0.0114598540145985,0.0983870967741935,0.1773560209424083,0.2166230366492146,0.4847161572052402,18.902774535632098,3.899353121458833,21.0,9.3,69.7,1.48,,,,,1.7,,,0.379088393745198,0.0
3311,0.001,0.0363291139240506,0.0981333333333333,0.134375,0.3871794871794872,,,24.0,15.800000000000002,60.2,1.58,2.61,0.391,0.6420361247947455,2.61,1.6,,,0.3860528457717779,0.0
4311,0.0787066666666666,0.1328431372549019,0.1722857142857142,0.1952173913043478,0.3863636363636363,2.480315830565151,1.1485455462654088,3.1,1.1999999999999995,95.7,1.66,,,,,,,,0.2786864992647277,0.0518185208578031
2380,0.0076470588235294,0.18,0.7000000000000001,0.96,1.7400000000000002,125.5384615384615,4.413461538461537,25.0,75.0,0.0,1.33,,,,,,,,0.4193118991346541,0.0
4681,0.001,0.001,0.001,0.0044086021505376,0.078876404494382,,,63.7,25.1,11.2,1.08,2.48,0.5650000000000001,1.298850574712644,2.48,2.9,3.9,,0.5773616634094053,0.0
4151,0.0621951219512195,0.1268170426065163,0.1769423558897243,0.2073170731707317,0.4817073170731707,3.333333333333333,1.247279687136021,4.0,15.3,80.69999999999999,1.62,,,,,0.88,,,0.365819725206657,0.0244648720067883
1340,0.001,0.0145454545454545,0.0319148936170212,0.0404255319148936,0.1610309278350515,,,20.6,62.4,17.000000000000004,1.52,2.63,0.424,0.736111111111111,2.63,0.91,7.100000000000001,,0.414908535757185,0.0
4040,0.002,0.0192592592592592,0.0329545454545454,0.0397727272727272,0.1139784946236559,19.88636363636364,4.662982559278856,17.5,71.2,11.3,1.54,,,,,1.58,,,0.3954738463656947,0.0
2216,0.0674021739130434,0.1703267973856209,0.2567567567567567,0.3243243243243243,0.6666666666666669,4.811778396684057,1.3271271536528322,4.4,3.1,92.5,1.727,2.737,0.369,0.5847860538827259,2.737,,4.2,,0.336164360689057,0.0
3203,0.001,0.0596036585365853,0.0900914634146341,0.1147471910112359,0.2411516853932584,,,13.8,42.7,43.50000000000001,1.7,,,,,0.27,8.6,0.67,0.341,0.0
2722,0.001,0.0129689213893967,0.0305191956124314,0.0392943327239488,1.2985611510791368,,,72.2,27.800000000000004,0.0,1.53,2.61,0.414,0.7064846416382251,2.61,0.2,4.8,,0.413951104740654,0.0
1210,0.001,0.0291372549019607,0.0636548913043478,0.0840353260869565,0.2080536912751678,,,43.3,36.8,19.899999999999995,1.68,,,,,,,,0.353541043878056,0.0
4670,0.004,0.0159166666666666,0.0286666666666666,0.0353333333333333,0.0553333333333333,8.833333333333334,1.7925019654088046,13.0,84.0,3.0000000000000027,1.42,2.65,0.463,0.86219739292365,2.65,0.86,3.6,,0.4629050828530152,0.0
4181,0.001,0.0189908256880733,0.0337956204379562,0.0410948905109489,0.0978494623655914,,,20.200000000000003,70.6,9.199999999999998,1.45,,,,,0.47,,,0.4237503887476789,0.0
1102,0.001,0.0482,0.2160194174757281,0.2918250950570342,0.73546511627907,,,30.3,4.699999999999998,65.0,1.71,,,,,,,,0.33319803911053,0.0318649382241468
2463,0.001,0.002,0.010780487804878,0.015170731707317,0.2,,,71.0,12.5,16.500000000000004,,,,,,,,,0.2873128127383934,0.0176308092929772
4590,0.001,0.0107,0.0397,0.0542,0.3666666666666668,,,64.0,0.0,36.0,1.11,2.61,0.597,1.4813895781637716,2.61,3.5,6.4,,0.5161066559317579,0.0
1330,0.0025596330275229,0.0165504587155963,0.0305412844036697,0.0375366972477064,0.0585229357798165,14.664874551971325,2.850928382427595,96.4,0.0,3.600000000000003,1.37,,0.45,0.8181818181818181,,1.0,6.3,,0.4700758766144761,0.0
4700,0.001,0.001530303030303,0.0166690777576853,0.0253490054249547,0.0598765432098765,,,88.4,8.099999999999996,3.500000000000003,1.28,,0.51,1.0408163265306123,,,,,0.3446551552208641,0.0
2443,0.001,0.4127906976744185,0.8662790697674418,1.0930232558139534,1.7732558139534884,,,14.000000000000002,86.0,0.0,1.53,,,,,,,,0.3521457665705171,0.0
4581,0.0038085106382978,0.1550691244239631,0.2970873786407766,0.345631067961165,0.4912621359223301,90.75229158756848,18.267651723916277,11.4,28.9,59.7,1.62,2.65,0.389,0.6366612111292963,2.65,0.74,7.2,,0.7087845830085417,0.0
2342,0.0949666666666666,0.1863,0.3179032258064516,0.3872580645161291,0.5953225806451614,4.077831497186336,0.9437436548390316,0.0,3.0,97.0,1.6,,,,,0.29,6.7,,0.3370499296387977,0.0
1012,0.026,0.1108106904231625,0.1749532293986637,0.2070244988864142,0.4926900584795322,7.962480726400549,2.281225573655965,17.5,10.999999999999998,71.50000000000001,1.4,2.66,0.44,0.7857142857142857,2.66,,,,0.3720442830450946,0.0
2761,0.0063394833948339,0.0240516605166051,0.0417638376383763,0.0835380835380835,1.5208845208845212,13.177427612817604,1.0923246997470315,59.3,40.7,0.0,1.28,2.65,0.517,1.0703933747412009,2.65,1.5,7.2,,0.4978689054234215,0.0
